,acquisition_date,acquisition
146,1970-05-27,35
147,1970-05-28,30
148,1970-05-29,37
149,1970-05-30,32
150,1970-05-31,26
151,1970-06-01,37
152,1970-06-02,46
153,1970-06-03,34
154,1970-06-04,36
155,1970-06-05,33
156,1970-06-06,39
157,1970-06-07,36
158,1970-06-08,25
159,1970-06-09,48
160,1970-06-10,39
161,1970-06-11,31
162,1970-06-12,30
163,1970-06-13,30
164,1970-06-14,35
165,1970-06-15,28
166,1970-06-16,27
167,1970-06-17,30
168,1970-06-18,33
169,1970-06-19,33
170,1970-06-20,26
171,1970-06-21,35
172,1970-06-22,42
173,1970-06-23,27
174,1970-06-24,36
175,1970-06-25,27
176,1970-06-26,38
177,1970-06-27,32
178,1970-06-28,32
179,1970-06-29,37
180,1970-06-30,43
181,1970-07-01,36
182,1970-07-02,30
183,1970-07-03,32
184,1970-07-04,30
185,1970-07-05,33
186,1970-07-06,30
187,1970-07-07,29
188,1970-07-08,28
189,1970-07-09,39
190,1970-07-10,35
191,1970-07-11,30
192,1970-07-12,39
193,1970-07-13,29
194,1970-07-14,41
195,1970-07-15,32
196,1970-07-16,48
197,1970-07-17,31
198,1970-07-18,27
199,1970-07-19,33
200,1970-07-20,34
201,1970-07-21,39
202,1970-07-22,26
203,1970-07-23,38
204,1970-07-24,27
205,1970-07-25,33
206,1970-07-26,30
207,1970-07-27,34
208,1970-07-28,27
209,1970-07-29,41
210,1970-07-30,28
211,1970-07-31,34
212,1970-08-01,34
213,1970-08-02,34
214,1970-08-03,30
215,1970-08-04,26
216,1970-08-05,38
217,1970-08-06,33
218,1970-08-07,36
219,1970-08-08,19
220,1970-08-09,26
221,1970-08-10,38
222,1970-08-11,35
223,1970-08-12,36
224,1970-08-13,37
225,1970-08-14,37
226,1970-08-15,38
227,1970-08-16,35
228,1970-08-17,34
229,1970-08-18,36
230,1970-08-19,43
231,1970-08-20,18
232,1970-08-21,37
233,1970-08-22,27
234,1970-08-23,33
235,1970-08-24,29
236,1970-08-25,36
237,1970-08-26,30
238,1970-08-27,30
239,1970-08-28,44
240,1970-08-29,38
241,1970-08-30,35
242,1970-08-31,26
243,1970-09-01,34
244,1970-09-02,44
245,1970-09-03,26
246,1970-09-04,39
247,1970-09-05,38
248,1970-09-06,34
249,1970-09-07,35
250,1970-09-08,26
251,1970-09-09,32
252,1970-09-10,33
253,1970-09-11,31
254,1970-09-12,31
255,1970-09-13,29
256,1970-09-14,33
257,1970-09-15,32
258,1970-09-16,42
259,1970-09-17,26
260,1970-09-18,33
261,1970-09-19,28
262,1970-09-20,28
263,1970-09-21,21
264,1970-09-22,23
265,1970-09-23,45
266,1970-09-24,31
267,1970-09-25,38
268,1970-09-26,46
269,1970-09-27,30
270,1970-09-28,35
271,1970-09-29,39
272,1970-09-30,20
273,1970-10-01,33
274,1970-10-02,27
275,1970-10-03,43
276,1970-10-04,26
277,1970-10-05,35
278,1970-10-06,31
279,1970-10-07,29
280,1970-10-08,51
281,1970-10-09,46
282,1970-10-10,30
283,1970-10-11,36
284,1970-10-12,31
285,1970-10-13,23
286,1970-10-14,32
287,1970-10-15,37
288,1970-10-16,31
289,1970-10-17,26
290,1970-10-18,30
291,1970-10-19,35
292,1970-10-20,33
293,1970-10-21,27
294,1970-10-22,28
295,1970-10-23,33
296,1970-10-24,33
297,1970-10-25,40
298,1970-10-26,45
299,1970-10-27,39
300,1970-10-28,28
301,1970-10-29,42
302,1970-10-30,41
303,1970-10-31,40
304,1970-11-01,36
305,1970-11-02,35
306,1970-11-03,38
307,1970-11-04,36
308,1970-11-05,30
309,1970-11-06,33
310,1970-11-07,33
311,1970-11-08,32
312,1970-11-09,31
313,1970-11-10,30
314,1970-11-11,30
315,1970-11-12,29
316,1970-11-13,31
317,1970-11-14,41
318,1970-11-15,47
319,1970-11-16,35
320,1970-11-17,36
321,1970-11-18,30
322,1970-11-19,28
323,1970-11-20,31
324,1970-11-21,26
325,1970-11-22,29
326,1970-11-23,27
327,1970-11-24,27
328,1970-11-25,38
329,1970-11-26,37
330,1970-11-27,26
331,1970-11-28,29
332,1970-11-29,31
333,1970-11-30,23
334,1970-12-01,26
335,1970-12-02,46
336,1970-12-03,26
337,1970-12-04,33
338,1970-12-05,23
339,1970-12-06,34
340,1970-12-07,31
341,1970-12-08,36
342,1970-12-09,29
343,1970-12-10,30
344,1970-12-11,31
345,1970-12-12,39
346,1970-12-13,33
347,1970-12-14,27
348,1970-12-15,35
349,1970-12-16,36
350,1970-12-17,30
351,1970-12-18,31
352,1970-12-19,34
353,1970-12-20,25
354,1970-12-21,31
355,1970-12-22,24
356,1970-12-23,38
357,1970-12-24,47
358,1970-12-25,45
359,1970-12-26,35
360,1970-12-27,24
361,1970-12-28,41
362,1970-12-29,31
363,1970-12-30,38
364,1970-12-31,51
365,1971-01-01,24
366,1971-01-02,33
367,1971-01-03,29
368,1971-01-04,33
369,1971-01-05,36
370,1971-01-06,38
371,1971-01-07,29
372,1971-01-08,40
373,1971-01-09,26
374,1971-01-10,31
375,1971-01-11,38
376,1971-01-12,38
377,1971-01-13,31
378,1971-01-14,24
379,1971-01-15,39
380,1971-01-16,39
381,1971-01-17,29
382,1971-01-18,41
383,1971-01-19,31
384,1971-01-20,33
385,1971-01-21,47
386,1971-01-22,33
387,1971-01-23,26
388,1971-01-24,28
389,1971-01-25,32
390,1971-01-26,44
391,1971-01-27,41
392,1971-01-28,36
393,1971-01-29,40
394,1971-01-30,38
395,1971-01-31,27
396,1971-02-01,25
397,1971-02-02,45
398,1971-02-03,34
399,1971-02-04,41
400,1971-02-05,37
401,1971-02-06,39
402,1971-02-07,27
403,1971-02-08,34
404,1971-02-09,47
405,1971-02-10,26
406,1971-02-11,27
407,1971-02-12,35
408,1971-02-13,37
409,1971-02-14,34
410,1971-02-15,29
411,1971-02-16,38
412,1971-02-17,31
413,1971-02-18,36
414,1971-02-19,33
415,1971-02-20,30
416,1971-02-21,44
417,1971-02-22,26
418,1971-02-23,35
419,1971-02-24,29
420,1971-02-25,28
421,1971-02-26,36
422,1971-02-27,37
423,1971-02-28,33
424,1971-03-01,27
425,1971-03-02,24
426,1971-03-03,32
427,1971-03-04,31
428,1971-03-05,31
429,1971-03-06,34
430,1971-03-07,50
431,1971-03-08,28
432,1971-03-09,30
433,1971-03-10,29
434,1971-03-11,34
435,1971-03-12,38
436,1971-03-13,25
437,1971-03-14,32
438,1971-03-15,32
439,1971-03-16,28
440,1971-03-17,26
441,1971-03-18,40
442,1971-03-19,24
443,1971-03-20,30
444,1971-03-21,31
445,1971-03-22,32
446,1971-03-23,47
447,1971-03-24,35
448,1971-03-25,29
449,1971-03-26,25
450,1971-03-27,26
451,1971-03-28,28
452,1971-03-29,37
453,1971-03-30,38
454,1971-03-31,33
455,1971-04-01,30
456,1971-04-02,18
457,1971-04-03,38
458,1971-04-04,23
459,1971-04-05,25
460,1971-04-06,28
461,1971-04-07,40
462,1971-04-08,38
463,1971-04-09,28
464,1971-04-10,28
465,1971-04-11,36
466,1971-04-12,46
467,1971-04-13,30
468,1971-04-14,41
469,1971-04-15,27
470,1971-04-16,35
471,1971-04-17,29
472,1971-04-18,41
473,1971-04-19,30
474,1971-04-20,34
475,1971-04-21,32
476,1971-04-22,43
477,1971-04-23,29
478,1971-04-24,36
479,1971-04-25,43
480,1971-04-26,34
481,1971-04-27,30
482,1971-04-28,36
483,1971-04-29,30
484,1971-04-30,39
485,1971-05-01,36
486,1971-05-02,43
487,1971-05-03,37
488,1971-05-04,31
489,1971-05-05,21
490,1971-05-06,35
491,1971-05-07,22
492,1971-05-08,35
493,1971-05-09,31
494,1971-05-10,37
495,1971-05-11,26
496,1971-05-12,39
497,1971-05-13,24
498,1971-05-14,38
499,1971-05-15,40
500,1971-05-16,32
501,1971-05-17,32
502,1971-05-18,46
503,1971-05-19,37
504,1971-05-20,27
505,1971-05-21,29
506,1971-05-22,33
507,1971-05-23,39
508,1971-05-24,42
509,1971-05-25,28
510,1971-05-26,38
511,1971-05-27,31
512,1971-05-28,38
513,1971-05-29,34
514,1971-05-30,36
515,1971-05-31,31
516,1971-06-01,33
517,1971-06-02,44
518,1971-06-03,28
519,1971-06-04,34
520,1971-06-05,24
521,1971-06-06,23
522,1971-06-07,33
523,1971-06-08,32
524,1971-06-09,35
525,1971-06-10,35
526,1971-06-11,39
527,1971-06-12,23
528,1971-06-13,28
529,1971-06-14,43
530,1971-06-15,22
531,1971-06-16,32
532,1971-06-17,36
533,1971-06-18,33
534,1971-06-19,36
535,1971-06-20,30
536,1971-06-21,33
537,1971-06-22,33
538,1971-06-23,27
539,1971-06-24,21
540,1971-06-25,35
541,1971-06-26,36
542,1971-06-27,33
543,1971-06-28,40
544,1971-06-29,28
545,1971-06-30,40
546,1971-07-01,27
547,1971-07-02,36
548,1971-07-03,23
549,1971-07-04,39
550,1971-07-05,28
551,1971-07-06,27
552,1971-07-07,33
553,1971-07-08,29
554,1971-07-09,45
555,1971-07-10,35
556,1971-07-11,39
557,1971-07-12,37
558,1971-07-13,29
559,1971-07-14,32
560,1971-07-15,26
561,1971-07-16,29
562,1971-07-17,30
563,1971-07-18,37
564,1971-07-19,29
565,1971-07-20,27
566,1971-07-21,28
567,1971-07-22,38
568,1971-07-23,30
569,1971-07-24,37
570,1971-07-25,41
571,1971-07-26,40
572,1971-07-27,35
573,1971-07-28,31
574,1971-07-29,30
575,1971-07-30,44
576,1971-07-31,30
577,1971-08-01,30
578,1971-08-02,33
579,1971-08-03,29
580,1971-08-04,26
581,1971-08-05,19
582,1971-08-06,24
583,1971-08-07,28
584,1971-08-08,36
585,1971-08-09,24
586,1971-08-10,44
587,1971-08-11,36
588,1971-08-12,25
589,1971-08-13,31
590,1971-08-14,31
591,1971-08-15,31
592,1971-08-16,34
593,1971-08-17,25
594,1971-08-18,23
595,1971-08-19,36
596,1971-08-20,26
597,1971-08-21,44
598,1971-08-22,35
599,1971-08-23,33
600,1971-08-24,26
601,1971-08-25,38
602,1971-08-26,26
603,1971-08-27,30
604,1971-08-28,26
605,1971-08-29,39
606,1971-08-30,32
607,1971-08-31,21
608,1971-09-01,34
609,1971-09-02,25
610,1971-09-03,31
611,1971-09-04,31
612,1971-09-05,32
613,1971-09-06,41
614,1971-09-07,32
615,1971-09-08,30
616,1971-09-09,38
617,1971-09-10,28
618,1971-09-11,23
619,1971-09-12,38
620,1971-09-13,25
621,1971-09-14,29
622,1971-09-15,44
623,1971-09-16,28
624,1971-09-17,26
625,1971-09-18,30
626,1971-09-19,30
627,1971-09-20,25
628,1971-09-21,26
629,1971-09-22,38
630,1971-09-23,22
631,1971-09-24,45
632,1971-09-25,41
633,1971-09-26,33
634,1971-09-27,36
635,1971-09-28,29
636,1971-09-29,43
637,1971-09-30,43
638,1971-10-01,45
639,1971-10-02,32
640,1971-10-03,29
641,1971-10-04,34
642,1971-10-05,30
643,1971-10-06,43
644,1971-10-07,33
645,1971-10-08,40
646,1971-10-09,40
647,1971-10-10,42
648,1971-10-11,32
649,1971-10-12,29
650,1971-10-13,23
651,1971-10-14,37
652,1971-10-15,34
653,1971-10-16,37
654,1971-10-17,27
655,1971-10-18,32
656,1971-10-19,35
657,1971-10-20,33
658,1971-10-21,29
659,1971-10-22,39
660,1971-10-23,32
661,1971-10-24,37
662,1971-10-25,31
663,1971-10-26,38
664,1971-10-27,30
665,1971-10-28,42
666,1971-10-29,32
667,1971-10-30,31
668,1971-10-31,35
669,1971-11-01,27
670,1971-11-02,32
671,1971-11-03,37
672,1971-11-04,36
673,1971-11-05,40
674,1971-11-06,39
675,1971-11-07,33
676,1971-11-08,32
677,1971-11-09,28
678,1971-11-10,30
679,1971-11-11,27
680,1971-11-12,40
681,1971-11-13,34
682,1971-11-14,24
683,1971-11-15,43
684,1971-11-16,34
685,1971-11-17,31
686,1971-11-18,30
687,1971-11-19,29
688,1971-11-20,32
689,1971-11-21,35
690,1971-11-22,39
691,1971-11-23,46
692,1971-11-24,42
693,1971-11-25,28
694,1971-11-26,31
695,1971-11-27,40
696,1971-11-28,34
697,1971-11-29,32
698,1971-11-30,38
699,1971-12-01,39
700,1971-12-02,34
701,1971-12-03,29
702,1971-12-04,30
703,1971-12-05,27
704,1971-12-06,31
705,1971-12-07,26
706,1971-12-08,30
707,1971-12-09,40
708,1971-12-10,21
709,1971-12-11,38
710,1971-12-12,28
711,1971-12-13,26
712,1971-12-14,31
713,1971-12-15,41
714,1971-12-16,32
715,1971-12-17,35
716,1971-12-18,40
717,1971-12-19,36
718,1971-12-20,38
719,1971-12-21,30
720,1971-12-22,28
721,1971-12-23,23
722,1971-12-24,34
723,1971-12-25,23
724,1971-12-26,35
725,1971-12-27,24
726,1971-12-28,37
727,1971-12-29,31
728,1971-12-30,25
729,1971-12-31,41
730,1972-01-01,37
731,1972-01-02,36
732,1972-01-03,28
733,1972-01-04,22
734,1972-01-05,41
735,1972-01-06,25
736,1972-01-07,30
737,1972-01-08,36
738,1972-01-09,35
739,1972-01-10,34
740,1972-01-11,33
741,1972-01-12,28
742,1972-01-13,33
743,1972-01-14,38
744,1972-01-15,38
745,1972-01-16,22
746,1972-01-17,43
747,1972-01-18,29
748,1972-01-19,46
749,1972-01-20,30
750,1972-01-21,39
751,1972-01-22,32
752,1972-01-23,29
753,1972-01-24,33
754,1972-01-25,39
755,1972-01-26,29
756,1972-01-27,31
757,1972-01-28,30
758,1972-01-29,25
759,1972-01-30,27
760,1972-01-31,36
761,1972-02-01,29
762,1972-02-02,34
763,1972-02-03,33
764,1972-02-04,28
765,1972-02-05,31
766,1972-02-06,29
767,1972-02-07,35
768,1972-02-08,33
769,1972-02-09,39
770,1972-02-10,42
771,1972-02-11,28
772,1972-02-12,36
773,1972-02-13,29
774,1972-02-14,40
775,1972-02-15,30
776,1972-02-16,37
777,1972-02-17,31
778,1972-02-18,30
779,1972-02-19,30
780,1972-02-20,22
781,1972-02-21,35
782,1972-02-22,35
783,1972-02-23,39
784,1972-02-24,43
785,1972-02-25,25
786,1972-02-26,34
787,1972-02-27,21
788,1972-02-28,22
789,1972-02-29,39
790,1972-03-01,28
791,1972-03-02,32
792,1972-03-03,40
793,1972-03-04,26
794,1972-03-05,40
795,1972-03-06,38
796,1972-03-07,26
797,1972-03-08,20
798,1972-03-09,34
799,1972-03-10,32
800,1972-03-11,27
801,1972-03-12,29
802,1972-03-13,29
803,1972-03-14,29
804,1972-03-15,39
805,1972-03-16,30
806,1972-03-17,20
807,1972-03-18,31
808,1972-03-19,36
809,1972-03-20,31
810,1972-03-21,28
811,1972-03-22,38
812,1972-03-23,28
813,1972-03-24,35
814,1972-03-25,27
815,1972-03-26,34
816,1972-03-27,37
817,1972-03-28,39
818,1972-03-29,31
819,1972-03-30,26
820,1972-03-31,35
821,1972-04-01,29
822,1972-04-02,36
823,1972-04-03,31
824,1972-04-04,35
825,1972-04-05,30
826,1972-04-06,43
827,1972-04-07,36
828,1972-04-08,43
829,1972-04-09,40
830,1972-04-10,47
831,1972-04-11,36
832,1972-04-12,33
833,1972-04-13,22
834,1972-04-14,31
835,1972-04-15,39
836,1972-04-16,32
837,1972-04-17,31
838,1972-04-18,42
839,1972-04-19,33
840,1972-04-20,33
841,1972-04-21,30
842,1972-04-22,35
843,1972-04-23,41
844,1972-04-24,21
845,1972-04-25,43
846,1972-04-26,36
847,1972-04-27,25
848,1972-04-28,32
849,1972-04-29,39
850,1972-04-30,39
851,1972-05-01,27
852,1972-05-02,29
853,1972-05-03,29
854,1972-05-04,38
855,1972-05-05,36
856,1972-05-06,22
857,1972-05-07,39
858,1972-05-08,28
859,1972-05-09,38
860,1972-05-10,28
861,1972-05-11,24
862,1972-05-12,34
863,1972-05-13,39
864,1972-05-14,40
865,1972-05-15,40
866,1972-05-16,28
867,1972-05-17,38
868,1972-05-18,24
869,1972-05-19,30
870,1972-05-20,44
871,1972-05-21,29
872,1972-05-22,28
873,1972-05-23,39
874,1972-05-24,24
875,1972-05-25,44
876,1972-05-26,26
877,1972-05-27,33
878,1972-05-28,37
879,1972-05-29,36
880,1972-05-30,33
881,1972-05-31,29
882,1972-06-01,41
883,1972-06-02,13
884,1972-06-03,28
885,1972-06-04,24
886,1972-06-05,22
887,1972-06-06,39
888,1972-06-07,33
889,1972-06-08,37
890,1972-06-09,38
891,1972-06-10,21
892,1972-06-11,33
893,1972-06-12,28
894,1972-06-13,41
895,1972-06-14,38
896,1972-06-15,27
897,1972-06-16,27
898,1972-06-17,32
899,1972-06-18,37
900,1972-06-19,24
901,1972-06-20,36
902,1972-06-21,38
903,1972-06-22,32
904,1972-06-23,36
905,1972-06-24,33
906,1972-06-25,37
907,1972-06-26,37
908,1972-06-27,32
909,1972-06-28,23
910,1972-06-29,37
911,1972-06-30,24
912,1972-07-01,33
913,1972-07-02,21
914,1972-07-03,33
915,1972-07-04,22
916,1972-07-05,23
917,1972-07-06,36
918,1972-07-07,32
919,1972-07-08,36
920,1972-07-09,39
921,1972-07-10,31
922,1972-07-11,38
923,1972-07-12,22
924,1972-07-13,29
925,1972-07-14,30
926,1972-07-15,41
927,1972-07-16,25
928,1972-07-17,29
929,1972-07-18,32
930,1972-07-19,38
931,1972-07-20,42
932,1972-07-21,30
933,1972-07-22,37
934,1972-07-23,38
935,1972-07-24,33
936,1972-07-25,34
937,1972-07-26,34
938,1972-07-27,30
939,1972-07-28,43
940,1972-07-29,37
941,1972-07-30,29
942,1972-07-31,34
943,1972-08-01,34
944,1972-08-02,26
945,1972-08-03,32
946,1972-08-04,37
947,1972-08-05,34
948,1972-08-06,28
949,1972-08-07,23
950,1972-08-08,36
951,1972-08-09,20
952,1972-08-10,36
953,1972-08-11,34
954,1972-08-12,24
955,1972-08-13,36
956,1972-08-14,46
957,1972-08-15,28
958,1972-08-16,42
959,1972-08-17,37
960,1972-08-18,40
961,1972-08-19,34
962,1972-08-20,21
963,1972-08-21,30
964,1972-08-22,37
965,1972-08-23,29
966,1972-08-24,50
967,1972-08-25,29
968,1972-08-26,34
969,1972-08-27,36
970,1972-08-28,26
971,1972-08-29,28
972,1972-08-30,35
973,1972-08-31,37
974,1972-09-01,25
975,1972-09-02,42
976,1972-09-03,32
977,1972-09-04,36
978,1972-09-05,38
979,1972-09-06,34
980,1972-09-07,29
981,1972-09-08,27
982,1972-09-09,28
983,1972-09-10,26
984,1972-09-11,34
985,1972-09-12,29
986,1972-09-13,25
987,1972-09-14,26
988,1972-09-15,28
989,1972-09-16,52
990,1972-09-17,47
991,1972-09-18,33
992,1972-09-19,28
993,1972-09-20,40
994,1972-09-21,34
995,1972-09-22,29
996,1972-09-23,29
997,1972-09-24,37
998,1972-09-25,38
999,1972-09-26,36
1000,1972-09-27,29
1001,1972-09-28,26
1002,1972-09-29,36
1003,1972-09-30,28
1004,1972-10-01,37
1005,1972-10-02,30
1006,1972-10-03,46
1007,1972-10-04,37
1008,1972-10-05,24
1009,1972-10-06,25
1010,1972-10-07,28
1011,1972-10-08,38
1012,1972-10-09,23
1013,1972-10-10,37
1014,1972-10-11,33
1015,1972-10-12,25
1016,1972-10-13,37
1017,1972-10-14,27
1018,1972-10-15,33
1019,1972-10-16,35
1020,1972-10-17,37
1021,1972-10-18,34
1022,1972-10-19,29
1023,1972-10-20,41
1024,1972-10-21,30
1025,1972-10-22,34
1026,1972-10-23,37
1027,1972-10-24,25
1028,1972-10-25,38
1029,1972-10-26,32
1030,1972-10-27,29
1031,1972-10-28,26
1032,1972-10-29,40
1033,1972-10-30,21
1034,1972-10-31,41
1035,1972-11-01,35
1036,1972-11-02,34
1037,1972-11-03,35
1038,1972-11-04,28
1039,1972-11-05,27
1040,1972-11-06,39
1041,1972-11-07,31
1042,1972-11-08,38
1043,1972-11-09,35
1044,1972-11-10,31
1045,1972-11-11,40
1046,1972-11-12,25
1047,1972-11-13,30
1048,1972-11-14,32
1049,1972-11-15,33
1050,1972-11-16,42
1051,1972-11-17,33
1052,1972-11-18,30
1053,1972-11-19,27
1054,1972-11-20,35
1055,1972-11-21,36
1056,1972-11-22,42
1057,1972-11-23,26
1058,1972-11-24,47
1059,1972-11-25,37
1060,1972-11-26,27
1061,1972-11-27,39
1062,1972-11-28,21
1063,1972-11-29,21
1064,1972-11-30,26
1065,1972-12-01,29
1066,1972-12-02,37
1067,1972-12-03,41
1068,1972-12-04,31
1069,1972-12-05,35
1070,1972-12-06,24
1071,1972-12-07,27
1072,1972-12-08,31
1073,1972-12-09,40
1074,1972-12-10,44
1075,1972-12-11,34
1076,1972-12-12,39
1077,1972-12-13,33
1078,1972-12-14,37
1079,1972-12-15,29
1080,1972-12-16,39
1081,1972-12-17,29
1082,1972-12-18,43
1083,1972-12-19,26
1084,1972-12-20,40
1085,1972-12-21,37
1086,1972-12-22,37
1087,1972-12-23,30
1088,1972-12-24,33
1089,1972-12-25,39
1090,1972-12-26,36
1091,1972-12-27,37
1092,1972-12-28,34
1093,1972-12-29,29
1094,1972-12-30,30
1095,1972-12-31,28
1096,1973-01-01,30
1097,1973-01-02,33
1098,1973-01-03,21
1099,1973-01-04,32
1100,1973-01-05,45
1101,1973-01-06,36
1102,1973-01-07,37
1103,1973-01-08,28
1104,1973-01-09,33
1105,1973-01-10,34
1106,1973-01-11,27
1107,1973-01-12,27
1108,1973-01-13,30
1109,1973-01-14,29
1110,1973-01-15,39
1111,1973-01-16,31
1112,1973-01-17,30
1113,1973-01-18,24
1114,1973-01-19,25
1115,1973-01-20,30
1116,1973-01-21,29
1117,1973-01-22,43
1118,1973-01-23,32
1119,1973-01-24,27
1120,1973-01-25,31
1121,1973-01-26,47
1122,1973-01-27,33
1123,1973-01-28,29
1124,1973-01-29,25
1125,1973-01-30,36
1126,1973-01-31,36
1127,1973-02-01,31
1128,1973-02-02,36
1129,1973-02-03,34
1130,1973-02-04,26
1131,1973-02-05,39
1132,1973-02-06,42
1133,1973-02-07,21
1134,1973-02-08,34
1135,1973-02-09,37
1136,1973-02-10,41
1137,1973-02-11,35
1138,1973-02-12,27
1139,1973-02-13,35
1140,1973-02-14,36
1141,1973-02-15,32
1142,1973-02-16,22
1143,1973-02-17,31
1144,1973-02-18,40
1145,1973-02-19,24
1146,1973-02-20,48
1147,1973-02-21,28
1148,1973-02-22,35
1149,1973-02-23,35
1150,1973-02-24,25
1151,1973-02-25,34
1152,1973-02-26,28
1153,1973-02-27,34
1154,1973-02-28,29
1155,1973-03-01,29
1156,1973-03-02,43
1157,1973-03-03,29
1158,1973-03-04,36
1159,1973-03-05,32
1160,1973-03-06,42
1161,1973-03-07,31
1162,1973-03-08,27
1163,1973-03-09,31
1164,1973-03-10,33
1165,1973-03-11,32
1166,1973-03-12,34
1167,1973-03-13,35
1168,1973-03-14,37
1169,1973-03-15,26
1170,1973-03-16,33
1171,1973-03-17,34
1172,1973-03-18,27
1173,1973-03-19,29
1174,1973-03-20,39
1175,1973-03-21,32
1176,1973-03-22,33
1177,1973-03-23,41
1178,1973-03-24,39
1179,1973-03-25,20
1180,1973-03-26,38
1181,1973-03-27,39
1182,1973-03-28,34
1183,1973-03-29,28
1184,1973-03-30,27
1185,1973-03-31,30
1186,1973-04-01,32
1187,1973-04-02,32
1188,1973-04-03,29
1189,1973-04-04,48
1190,1973-04-05,35
1191,1973-04-06,32
1192,1973-04-07,31
1193,1973-04-08,34
1194,1973-04-09,35
1195,1973-04-10,35
1196,1973-04-11,31
1197,1973-04-12,31
1198,1973-04-13,35
1199,1973-04-14,37
1200,1973-04-15,40
1201,1973-04-16,28
1202,1973-04-17,45
1203,1973-04-18,31
1204,1973-04-19,39
1205,1973-04-20,27
1206,1973-04-21,26
1207,1973-04-22,37
1208,1973-04-23,32
1209,1973-04-24,25
1210,1973-04-25,34
1211,1973-04-26,31
1212,1973-04-27,22
1213,1973-04-28,33
1214,1973-04-29,25
1215,1973-04-30,43
1216,1973-05-01,33
1217,1973-05-02,24
1218,1973-05-03,32
1219,1973-05-04,22
1220,1973-05-05,35
1221,1973-05-06,30
1222,1973-05-07,33
1223,1973-05-08,32
1224,1973-05-09,31
1225,1973-05-10,28
1226,1973-05-11,31
1227,1973-05-12,26
1228,1973-05-13,28
1229,1973-05-14,36
1230,1973-05-15,33
1231,1973-05-16,21
1232,1973-05-17,40
1233,1973-05-18,40
1234,1973-05-19,34
1235,1973-05-20,36
1236,1973-05-21,33
1237,1973-05-22,28
1238,1973-05-23,33
1239,1973-05-24,37
1240,1973-05-25,45
1241,1973-05-26,34
1242,1973-05-27,31
1243,1973-05-28,32
1244,1973-05-29,38
1245,1973-05-30,30
1246,1973-05-31,28
